user_id,r_days,f,r_score,f_score,segment
1000581,4,3,1,3,at_risk
1000588,2,2,2,2,high_value_active
1000590,0,2,3,2,high_value_active
1000596,4,3,1,3,at_risk
1000610,0,4,3,3,high_value_active
1000630,4,3,1,3,at_risk
1000636,2,8,2,3,high_value_active
1000641,3,7,2,3,at_risk
1000647,7,1,1,2,lost
1000650,4,1,1,2,lost
1000659,2,4,2,3,high_value_active
1000664,3,5,2,3,at_risk
1000676,1,3,3,3,high_value_active
1000684,0,10,3,3,high_value_active
1000686,2,1,2,2,potential
1000688,1,1,3,2,potential
1000694,2,3,2,3,high_value_active
1000703,4,2,1,2,at_risk
1000712,4,3,1,3,at_risk
1000715,2,3,2,3,high_value_active
1000718,3,4,2,3,at_risk
1000722,4,1,1,2,lost
1000723,1,16,3,3,high_value_active
1000727,0,1,3,2,potential
1000732,2,1,2,2,potential
1000735,1,3,3,3,high_value_active
1000738,7,1,1,2,lost
1000749,0,2,3,2,high_value_active
1000751,6,1,1,2,lost
1000772,0,1,3,2,potential
1000792,2,5,2,3,high_value_active
1000803,7,1,1,2,lost
1000807,0,5,3,3,high_value_active
1000810,1,1,3,2,potential
1000811,3,2,2,2,at_risk
1000836,0,4,3,3,high_value_active
1000840,1,1,3,2,potential
1000856,3,3,2,3,at_risk
1000857,4,1,1,2,lost
1000865,2,2,2,2,high_value_active
1000866,7,1,1,2,lost
1000867,3,1,2,2,lost
1000872,2,4,2,3,high_value_active
1000877,3,7,2,3,at_risk
1000878,2,4,2,3,high_value_active
1000896,6,2,1,2,at_risk
1000911,0,5,3,3,high_value_active
1000916,2,2,2,2,high_value_active
1000919,4,1,1,2,lost
1000922,4,1,1,2,lost
1000923,1,1,3,2,potential
1000936,6,2,1,2,at_risk
1000937,2,4,2,3,high_value_active
1000959,7,1,1,2,lost
1000962,3,3,2,3,at_risk
1000964,7,1,1,2,lost
1000984,3,1,2,2,lost
1001005,1,2,3,2,high_value_active
1001009,3,3,2,3,at_risk
1001017,5,2,1,2,at_risk
1001018,6,1,1,2,lost
1001024,4,2,1,2,at_risk
1001048,0,1,3,2,potential
1001054,0,6,3,3,high_value_active
1001065,3,4,2,3,at_risk
1001081,1,5,3,3,high_value_active
1001088,8,2,1,2,at_risk
1001092,5,2,1,2,at_risk
1001099,2,5,2,3,high_value_active
1001102,1,4,3,3,high_value_active
1001104,1,2,3,2,high_value_active
1001108,7,1,1,2,lost
1001120,3,4,2,3,at_risk
1001121,3,1,2,2,lost
1001131,0,4,3,3,high_value_active
1001138,0,2,3,2,high_value_active
1001145,1,5,3,3,high_value_active
1001148,0,1,3,2,potential
1001151,2,3,2,3,high_value_active
1001154,4,1,1,2,lost
1001185,4,2,1,2,at_risk
1001186,0,4,3,3,high_value_active
1001199,0,10,3,3,high_value_active
1001201,0,2,3,2,high_value_active
1001228,1,1,3,2,potential
1001230,3,2,2,2,at_risk
1001232,3,4,2,3,at_risk
1001235,0,4,3,3,high_value_active
1001241,2,6,2,3,high_value_active
1001248,7,3,1,3,at_risk
1001265,2,1,2,2,potential
1001270,1,2,3,2,high_value_active
1001301,6,1,1,2,lost
1001305,3,15,2,3,at_risk
1001313,1,1,3,2,potential
1001326,1,5,3,3,high_value_active
1001327,4,1,1,2,lost
1001346,6,1,1,2,lost
1001347,2,3,2,3,high_value_active
1001352,1,2,3,2,high_value_active
1001360,6,1,1,2,lost
1001373,3,5,2,3,at_risk
1001375,0,10,3,3,high_value_active
1001378,0,8,3,3,high_value_active
1001381,1,2,3,2,high_value_active
1001404,2,2,2,2,high_value_active
1001419,2,7,2,3,high_value_active
1001420,5,3,1,3,at_risk
1001421,3,2,2,2,at_risk
1001438,4,1,1,2,lost
1001441,0,2,3,2,high_value_active
1001444,1,3,3,3,high_value_active
1001460,3,1,2,2,lost
1001461,3,6,2,3,at_risk
1001466,0,5,3,3,high_value_active
1001472,7,5,1,3,at_risk
1001482,5,1,1,2,lost
1001489,5,1,1,2,lost
1001492,5,1,1,2,lost
1001512,2,1,2,2,potential
1001521,6,1,1,2,lost
1001524,0,1,3,2,potential
1001531,0,2,3,2,high_value_active
1001532,1,3,3,3,high_value_active
1001534,7,1,1,2,lost
1001537,0,8,3,3,high_value_active
1001543,5,1,1,2,lost
1001545,0,10,3,3,high_value_active
1001551,0,1,3,2,potential
1001557,1,1,3,2,potential
1001562,3,2,2,2,at_risk
1001566,2,7,2,3,high_value_active
1001569,5,2,1,2,at_risk
1001578,1,2,3,2,high_value_active
1001591,1,1,3,2,potential
1001596,1,4,3,3,high_value_active
1001601,3,2,2,2,at_risk
1001606,2,1,2,2,potential
1001608,6,1,1,2,lost
1001618,7,1,1,2,lost
1001625,0,6,3,3,high_value_active
1001626,3,2,2,2,at_risk
1001628,3,1,2,2,lost
1001629,0,9,3,3,high_value_active
1001641,8,2,1,2,at_risk
1001652,0,4,3,3,high_value_active
1001654,2,2,2,2,high_value_active
1001662,3,9,2,3,at_risk
1001667,1,2,3,2,high_value_active
1001673,4,2,1,2,at_risk
1001676,0,3,3,3,high_value_active
1001686,2,1,2,2,potential
1001688,6,1,1,2,lost
1001689,2,1,2,2,potential
1001697,1,1,3,2,potential
1001700,3,2,2,2,at_risk
1001711,0,5,3,3,high_value_active
1001737,3,3,2,3,at_risk
1001744,5,1,1,2,lost
1001757,0,2,3,2,high_value_active
1001769,5,3,1,3,at_risk
1001771,7,1,1,2,lost
1001783,1,4,3,3,high_value_active
1001784,4,2,1,2,at_risk
1001788,4,3,1,3,at_risk
1001800,2,1,2,2,potential
1001803,4,2,1,2,at_risk
1001804,0,4,3,3,high_value_active
1001809,4,1,1,2,lost
1001823,3,1,2,2,lost
1001829,0,4,3,3,high_value_active
1001841,1,7,3,3,high_value_active
1001844,2,2,2,2,high_value_active
1001847,7,3,1,3,at_risk
1001850,1,2,3,2,high_value_active
1001855,4,3,1,3,at_risk
1001856,1,8,3,3,high_value_active
1001860,2,4,2,3,high_value_active
1001866,3,15,2,3,at_risk
1001870,1,2,3,2,high_value_active
1001872,5,2,1,2,at_risk
1001875,2,5,2,3,high_value_active
1001876,0,2,3,2,high_value_active
1001877,1,3,3,3,high_value_active
1001879,0,2,3,2,high_value_active
1001882,0,1,3,2,potential
1001891,3,2,2,2,at_risk
1001902,0,2,3,2,high_value_active
1001903,4,1,1,2,lost
1001908,2,2,2,2,high_value_active
1001912,2,1,2,2,potential
1001915,1,5,3,3,high_value_active
1001917,3,3,2,3,at_risk
1001920,2,3,2,3,high_value_active
1001921,0,6,3,3,high_value_active
1001944,3,4,2,3,at_risk
1001946,5,1,1,2,lost
1001947,1,1,3,2,potential
1001952,0,2,3,2,high_value_active
1001967,0,3,3,3,high_value_active
1001981,7,1,1,2,lost
1001982,0,2,3,2,high_value_active
1001985,4,1,1,2,lost
1001988,0,4,3,3,high_value_active
1002005,3,1,2,2,lost
1002010,3,1,2,2,lost
1002020,0,4,3,3,high_value_active
1002031,0,16,3,3,high_value_active
1002032,3,4,2,3,at_risk
1002034,1,5,3,3,high_value_active
1002040,3,3,2,3,at_risk
1002042,0,7,3,3,high_value_active
1002044,4,1,1,2,lost
1002046,5,8,1,3,at_risk
1002058,5,1,1,2,lost
1002066,1,5,3,3,high_value_active
1002093,0,4,3,3,high_value_active
1002095,3,4,2,3,at_risk
1002118,2,3,2,3,high_value_active
1002127,0,2,3,2,high_value_active
1002128,3,2,2,2,at_risk
1002132,5,5,1,3,at_risk
1002142,1,3,3,3,high_value_active
1002147,5,1,1,2,lost
1002166,0,10,3,3,high_value_active
1002172,7,2,1,2,at_risk
1002180,0,2,3,2,high_value_active
1002183,4,1,1,2,lost
1002185,1,7,3,3,high_value_active
1002188,0,3,3,3,high_value_active
1002191,3,3,2,3,at_risk
1002194,0,3,3,3,high_value_active
1002200,7,1,1,2,lost
1002201,1,5,3,3,high_value_active
1002202,5,3,1,3,at_risk
1002208,0,5,3,3,high_value_active
1002213,7,2,1,2,at_risk
1002218,0,2,3,2,high_value_active
1002222,1,11,3,3,high_value_active
1002226,2,4,2,3,high_value_active
1002228,2,10,2,3,high_value_active
1002237,1,9,3,3,high_value_active
1002246,0,8,3,3,high_value_active
1002251,1,5,3,3,high_value_active
1002254,1,2,3,2,high_value_active
1002257,0,2,3,2,high_value_active
1002260,2,1,2,2,potential
1002271,3,3,2,3,at_risk
1002291,8,1,1,2,lost
1002295,1,3,3,3,high_value_active
1002306,4,1,1,2,lost
1002307,0,10,3,3,high_value_active
1002311,0,2,3,2,high_value_active
1002315,0,1,3,2,potential
1002316,4,2,1,2,at_risk
1002317,0,3,3,3,high_value_active
1002328,5,1,1,2,lost
1002330,4,3,1,3,at_risk
1002331,4,7,1,3,at_risk
1002339,5,1,1,2,lost
1002349,4,5,1,3,at_risk
1002350,1,2,3,2,high_value_active
1002358,0,10,3,3,high_value_active
1002375,0,1,3,2,potential
1002387,2,7,2,3,high_value_active
1002388,2,5,2,3,high_value_active
1002392,1,3,3,3,high_value_active
1002413,7,5,1,3,at_risk
1002421,2,1,2,2,potential
1002426,2,1,2,2,potential
1002428,3,3,2,3,at_risk
1002435,7,3,1,3,at_risk
1002449,1,5,3,3,high_value_active
1002453,6,1,1,2,lost
1002460,8,2,1,2,at_risk
1002478,6,1,1,2,lost
1002479,2,1,2,2,potential
1002484,4,1,1,2,lost
1002494,5,1,1,2,lost
1002508,3,1,2,2,lost
1002512,0,1,3,2,potential
1002520,0,4,3,3,high_value_active
1002526,3,7,2,3,at_risk
1002534,5,4,1,3,at_risk
1002542,1,1,3,2,potential
1002547,1,1,3,2,potential
1002564,2,2,2,2,high_value_active
1002566,3,5,2,3,at_risk
1002574,0,2,3,2,high_value_active
1002578,0,4,3,3,high_value_active
1002587,2,5,2,3,high_value_active
1002589,1,8,3,3,high_value_active
1002591,0,1,3,2,potential
1002593,6,1,1,2,lost
1002597,1,2,3,2,high_value_active
1002618,0,7,3,3,high_value_active
1002637,1,7,3,3,high_value_active
1002642,0,1,3,2,potential
1002661,1,1,3,2,potential
1002672,1,3,3,3,high_value_active
1002684,0,2,3,2,high_value_active
1002685,2,4,2,3,high_value_active
1002696,1,2,3,2,high_value_active
1002705,6,7,1,3,at_risk
1002714,1,3,3,3,high_value_active
1002725,5,2,1,2,at_risk
1002756,0,2,3,2,high_value_active
1002763,2,12,2,3,high_value_active
1002766,3,1,2,2,lost
1002767,0,1,3,2,potential
1002771,0,1,3,2,potential
1002793,1,1,3,2,potential
1002831,0,2,3,2,high_value_active
1002846,3,1,2,2,lost
1002847,1,3,3,3,high_value_active
1002862,0,2,3,2,high_value_active
1002878,0,3,3,3,high_value_active
1002886,4,7,1,3,at_risk
1002890,0,1,3,2,potential
1002909,0,6,3,3,high_value_active
1002927,2,5,2,3,high_value_active
1002928,2,5,2,3,high_value_active
1002931,1,2,3,2,high_value_active
1002934,0,4,3,3,high_value_active
1002940,3,4,2,3,at_risk
1002943,1,2,3,2,high_value_active
1002970,0,6,3,3,high_value_active
1002975,2,1,2,2,potential
1002980,8,1,1,2,lost
1002992,1,2,3,2,high_value_active
1002996,8,1,1,2,lost
1003022,0,8,3,3,high_value_active
1003027,0,4,3,3,high_value_active
1003041,0,4,3,3,high_value_active
1003044,4,3,1,3,at_risk
1003047,4,2,1,2,at_risk
1003052,1,1,3,2,potential
1003057,1,1,3,2,potential
1003063,1,2,3,2,high_value_active
1003065,2,5,2,3,high_value_active
1003071,2,1,2,2,potential
1003073,0,1,3,2,potential
1003076,2,3,2,3,high_value_active
1003093,3,1,2,2,lost
1003095,5,4,1,3,at_risk
1003110,6,2,1,2,at_risk
1003122,6,1,1,2,lost
1003123,0,1,3,2,potential
1003124,8,1,1,2,lost
1003131,1,5,3,3,high_value_active
1003152,5,2,1,2,at_risk
1003157,3,2,2,2,at_risk
1003163,6,5,1,3,at_risk
1003171,0,2,3,2,high_value_active
1003176,1,2,3,2,high_value_active
1003177,3,6,2,3,at_risk
1003183,0,4,3,3,high_value_active
1003184,4,2,1,2,at_risk
1003190,1,1,3,2,potential
1003191,2,6,2,3,high_value_active
1003199,7,1,1,2,lost
1003200,0,5,3,3,high_value_active
1003221,8,1,1,2,lost
1003226,2,1,2,2,potential
1003227,3,1,2,2,lost
1003230,3,1,2,2,lost
1003239,0,3,3,3,high_value_active
1003249,0,6,3,3,high_value_active
1003250,0,1,3,2,potential
1003264,0,3,3,3,high_value_active
1003273,0,4,3,3,high_value_active
1003274,5,1,1,2,lost
1003281,5,1,1,2,lost
1003283,2,1,2,2,potential
1003292,1,1,3,2,potential
1003293,7,1,1,2,lost
1003296,1,2,3,2,high_value_active
1003298,8,1,1,2,lost
1003306,6,1,1,2,lost
1003319,2,3,2,3,high_value_active
1003321,0,6,3,3,high_value_active
1003326,2,1,2,2,potential
1003329,6,2,1,2,at_risk
1003332,1,3,3,3,high_value_active
1003341,1,3,3,3,high_value_active
1003343,6,3,1,3,at_risk
1003348,0,1,3,2,potential
1003351,0,5,3,3,high_value_active
1003359,7,1,1,2,lost
1003390,1,4,3,3,high_value_active
1003397,3,2,2,2,at_risk
1003410,1,2,3,2,high_value_active
1003422,0,3,3,3,high_value_active
1003428,1,8,3,3,high_value_active
1003432,5,1,1,2,lost
1003440,2,2,2,2,high_value_active
1003457,3,1,2,2,lost
1003463,0,1,3,2,potential
1003467,6,1,1,2,lost
1003475,7,1,1,2,lost
1003479,7,2,1,2,at_risk
1003492,2,2,2,2,high_value_active
1003499,8,1,1,2,lost
1003509,0,4,3,3,high_value_active
1003510,0,7,3,3,high_value_active
1003512,7,1,1,2,lost
1003514,0,2,3,2,high_value_active
1003531,7,3,1,3,at_risk
1003550,4,2,1,2,at_risk
1003553,7,2,1,2,at_risk
1003559,0,4,3,3,high_value_active
1003561,0,4,3,3,high_value_active
1003562,0,4,3,3,high_value_active
1003571,4,2,1,2,at_risk
1003584,3,2,2,2,at_risk
1003586,1,5,3,3,high_value_active
1003598,3,1,2,2,lost
1003610,2,3,2,3,high_value_active
1003611,3,6,2,3,at_risk
1003612,3,1,2,2,lost
1003627,0,2,3,2,high_value_active
1003628,0,4,3,3,high_value_active
1003629,2,1,2,2,potential
1003643,5,3,1,3,at_risk
1003656,0,6,3,3,high_value_active
1003685,8,1,1,2,lost
1003693,2,1,2,2,potential
1003703,4,2,1,2,at_risk
1003707,0,3,3,3,high_value_active
1003711,3,3,2,3,at_risk
1003716,0,9,3,3,high_value_active
1003724,2,5,2,3,high_value_active
1003725,1,1,3,2,potential
1003733,7,1,1,2,lost
1003740,2,3,2,3,high_value_active
1003743,4,1,1,2,lost
1003748,0,1,3,2,potential
1003756,4,1,1,2,lost
1003757,1,1,3,2,potential
1003761,1,1,3,2,potential
1003766,0,2,3,2,high_value_active
1003767,4,3,1,3,at_risk
1003781,1,5,3,3,high_value_active
1003782,0,2,3,2,high_value_active
1003792,3,1,2,2,lost
1003807,3,1,2,2,lost
1003821,0,2,3,2,high_value_active
1003826,0,10,3,3,high_value_active
1003837,2,6,2,3,high_value_active
1003838,1,3,3,3,high_value_active
1003846,2,2,2,2,high_value_active
1003855,8,1,1,2,lost
1003863,0,1,3,2,potential
1003866,1,1,3,2,potential
1003867,0,2,3,2,high_value_active
1003871,2,3,2,3,high_value_active
1003875,7,1,1,2,lost
1003885,1,4,3,3,high_value_active
1003887,3,1,2,2,lost
1003893,0,1,3,2,potential
1003894,5,1,1,2,lost
1003901,1,31,3,3,high_value_active
1003906,0,9,3,3,high_value_active
1003912,7,1,1,2,lost
1003914,5,1,1,2,lost
1003938,1,2,3,2,high_value_active
1003940,0,3,3,3,high_value_active
1003941,6,4,1,3,at_risk
1003947,6,1,1,2,lost
1003961,0,1,3,2,potential
1003965,7,2,1,2,at_risk
1003975,1,5,3,3,high_value_active
1003979,4,2,1,2,at_risk
1003983,0,43,3,3,high_value_active
1003988,0,2,3,2,high_value_active
1003991,2,1,2,2,potential
1003993,1,1,3,2,potential
1003998,1,2,3,2,high_value_active
1004001,0,1,3,2,potential
1004002,0,1,3,2,potential
1004019,1,2,3,2,high_value_active
1004020,4,1,1,2,lost
1004021,1,3,3,3,high_value_active
1004026,0,1,3,2,potential
1004032,1,2,3,2,high_value_active
1004068,0,4,3,3,high_value_active
1004073,5,1,1,2,lost
1004075,1,4,3,3,high_value_active
1004082,0,2,3,2,high_value_active
1004087,8,2,1,2,at_risk
1004096,1,12,3,3,high_value_active
1004106,3,3,2,3,at_risk
1004115,8,1,1,2,lost
1004118,2,1,2,2,potential
1004122,6,3,1,3,at_risk
1004140,2,1,2,2,potential
1004146,0,1,3,2,potential
1004161,0,2,3,2,high_value_active
1004165,3,4,2,3,at_risk
1004172,0,5,3,3,high_value_active
1004183,0,2,3,2,high_value_active
1004192,8,3,1,3,at_risk
1004196,5,2,1,2,at_risk
1004201,7,1,1,2,lost
1004207,1,1,3,2,potential
1004212,4,3,1,3,at_risk
1004228,3,6,2,3,at_risk
1004232,4,3,1,3,at_risk
1004238,3,8,2,3,at_risk
1004246,3,1,2,2,lost
1004259,2,3,2,3,high_value_active
1004269,0,4,3,3,high_value_active
1004274,3,2,2,2,at_risk
1004277,2,1,2,2,potential
1004282,0,1,3,2,potential
1004289,6,1,1,2,lost
1004296,5,2,1,2,at_risk
1004298,5,2,1,2,at_risk
1004302,1,1,3,2,potential
1004303,8,1,1,2,lost
1004319,2,1,2,2,potential
1004327,2,5,2,3,high_value_active
1004335,0,3,3,3,high_value_active
1004337,0,6,3,3,high_value_active
1004339,1,5,3,3,high_value_active
1004341,4,3,1,3,at_risk
1004350,1,2,3,2,high_value_active
1004353,2,1,2,2,potential
1004354,0,1,3,2,potential
1004357,1,3,3,3,high_value_active
1004362,3,1,2,2,lost
1004366,1,3,3,3,high_value_active
1004368,4,2,1,2,at_risk
1004378,2,2,2,2,high_value_active
